timestamp,order_id,instrument,side,type,quantity,price,action
1749282470069676785,1,INST034,BUY,MARKET,995,0,NEW
1749282470069681831,1,INST034,BUY,MARKET,995,0,CANCEL
1749282470069687704,2,INST059,SELL,MARKET,495,0,NEW
1749282470069689679,3,INST053,SELL,MARKET,185,0,NEW
1749282470069697648,4,INST008,BUY,LIMIT,245,119.67,NEW
1749282470069703448,5,INST040,BUY,LIMIT,275,242.35,NEW
1749282470069705683,6,INST196,BUY,LIMIT,720,430.14,NEW
1749282470069709734,7,INST168,SELL,MARKET,565,0,NEW
1749282470069716899,8,INST053,BUY,MARKET,50,0,NEW
1749282470069725194,9,INST185,SELL,MARKET,995,0,NEW
1749282470069728431,10,INST002,BUY,MARKET,745,0,NEW
1749282470069730065,6,INST196,BUY,LIMIT,620,426.08,MODIFY
1749282470069730253,11,INST074,SELL,MARKET,200,0,NEW
1749282470069739589,2,INST059,SELL,MARKET,495,0,CANCEL
1749282470069747999,6,INST196,BUY,LIMIT,720,0,CANCEL
1749282470069752016,12,INST037,BUY,MARKET,440,0,NEW
1749282470069756077,13,INST098,BUY,LIMIT,195,291.58,NEW
1749282470069759076,7,INST168,SELL,LIMIT,950,427.49,MODIFY
1749282470069761356,14,INST049,SELL,MARKET,65,0,NEW
1749282470069762278,14,INST049,SELL,MARKET,65,0,CANCEL
1749282470069764528,10,INST002,BUY,MARKET,745,0,CANCEL
1749282470069765740,15,INST121,BUY,MARKET,585,0,NEW
1749282470069775462,16,INST146,BUY,MARKET,960,0,NEW
1749282470069778035,17,INST119,SELL,MARKET,505,0,NEW
1749282470069783301,17,INST119,SELL,LIMIT,165,482.44,MODIFY
1749282470069785395,18,INST171,BUY,MARKET,940,0,NEW
1749282470069792152,19,INST100,BUY,MARKET,585,0,NEW
1749282470069798294,20,INST198,BUY,LIMIT,235,162.69,NEW
1749282470069801499,21,INST186,SELL,MARKET,700,0,NEW
1749282470069809352,22,INST064,SELL,MARKET,650,0,NEW
1749282470069812061,7,INST168,SELL,MARKET,565,0,CANCEL
1749282470069813769,20,INST198,BUY,LIMIT,575,155.58,MODIFY
1749282470069823284,23,INST061,BUY,MARKET,675,0,NEW
1749282470069827879,24,INST060,SELL,MARKET,770,0,NEW
1749282470069833138,25,INST036,BUY,LIMIT,565,326.55,NEW
1749282470069837070,26,INST137,BUY,LIMIT,455,381.32,NEW
1749282470069843902,5,INST040,BUY,LIMIT,470,236.08,MODIFY
1749282470069848796,9,INST185,SELL,LIMIT,505,399.23,MODIFY
1749282470069856772,27,INST136,BUY,MARKET,310,0,NEW
1749282470069859610,28,INST061,BUY,LIMIT,30,384.18,NEW
1749282470069864256,5,INST040,BUY,LIMIT,275,253.82,MODIFY
1749282470069871399,29,INST021,SELL,LIMIT,350,142.44,NEW
1749282470069873795,30,INST074,BUY,MARKET,530,0,NEW
1749282470069877128,31,INST198,SELL,MARKET,930,0,NEW
1749282470069884081,32,INST117,SELL,LIMIT,690,125.87,NEW
1749282470069893625,5,INST040,BUY,LIMIT,320,247.76,MODIFY
1749282470069896335,33,INST035,SELL,MARKET,575,0,NEW
1749282470069900647,34,INST086,BUY,MARKET,760,0,NEW
1749282470069908314,11,INST074,SELL,MARKET,200,0,CANCEL
1749282470069909777,35,INST178,SELL,LIMIT,265,246.70,NEW
1749282470069909893,36,INST077,SELL,LIMIT,485,371.69,NEW
1749282470069918076,37,INST146,BUY,MARKET,925,0,NEW
1749282470069920709,28,INST061,BUY,LIMIT,370,380.94,MODIFY
1749282470069928749,38,INST191,SELL,LIMIT,585,304.68,NEW
1749282470069937198,39,INST068,SELL,MARKET,875,0,NEW
1749282470069937327,4,INST008,BUY,LIMIT,465,116.32,MODIFY
1749282470069944849,24,INST060,SELL,LIMIT,5,281.37,MODIFY
1749282470069949308,22,INST064,SELL,MARKET,650,0,CANCEL
1749282470069954820,40,INST016,BUY,LIMIT,910,60.41,NEW
1749282470069963423,41,INST007,BUY,MARKET,290,0,NEW
1749282470069969892,42,INST092,BUY,LIMIT,690,347.48,NEW
1749282470069979070,43,INST062,SELL,LIMIT,845,82.84,NEW
1749282470069985291,44,INST111,BUY,LIMIT,165,288.65,NEW
1749282470069988431,45,INST059,BUY,MARKET,950,0,NEW
1749282470069994386,5,INST040,BUY,LIMIT,360,234.83,MODIFY
1749282470070001543,46,INST141,SELL,MARKET,30,0,NEW
1749282470070002450,29,INST021,SELL,LIMIT,350,0,CANCEL
1749282470070009551,47,INST177,BUY,LIMIT,20,145.86,NEW
1749282470070016167,19,INST100,BUY,LIMIT,560,491.70,MODIFY
